어휘,뜻풀이
값지다,물건 따위가 값이 많이 나갈 만한 가치가 있다큰 보람이나 의의 따위가 있다
강강하다,마음이나 기력이 아주 단단하다날씨가 쌀쌀하다풀기가 세어 빳빳하다목소리가 높고 날카롭다
강개무량하다,의기에 북받쳐 원통하고 슬픔이 한이 없다
강개하다,의롭지 못한 것을 보고 의기가 북받쳐 원통하고 슬프다
강건하다,의지나 기상이 굳세고 건전하다필력이나 문세가 강하고 씩씩하다
강건하다,굳세고 충직하다
강건하다,강직하고 바른 말을 하는 데에 거리낌이 없다
강건하다,윗사람의 기력이 탈이 없고 튼튼하다
강건하다,몸이나 기력이 실하고 튼튼하다
강견하다,세고 단단하다
강경하다,성격이나 기질이 꿋꿋하고 굳세다
강경하다,강직하고 지조가 굳다
강경하다,굳세게 버티어 굽히지 않다
강고무비하다,비교할 수 없이 굳세고 단단하다
강고하다,굳세고 튼튼하다
강과하다,굳세고 결단력이 있다
강근하다,친척과의 촌수가 가깝다
강녕하다,몸이 건강하고 마음이 편안하다
강단지다,굳세고 꿋꿋하여 견디어 내는 힘이 있다
강담하다,담력이 강하다
강대하다,나라나 조직 따위의 역량이 강하고 크다
강동하다,입은 옷이 아랫도리나 속옷이 드러날 정도로 짧다
강락하다,몸이 편안하여 마음이 즐겁다
강려하다,성미가 억세고 비꼬여 있다
강력하다,힘이나 영향이 강하다가능성이 크다
강렬하다,성질이 억세고 사납다
강렬하다,강하고 세차다
강마르다,물기가 없이 바싹 메마르다성미가 부드럽지 못하고 메마르다살이 없이 몹시 수척하다
강맹하다,아주 굳세고 사납다
강명하다,성질이 곧고 두뇌가 명석하다
강박하다,매우 딱딱하고 인정이 없다
강박하다,우악스럽고 야박하다
강밭다,몹시 야박하고 인색하다
강변하다,변론을 잘하는 능력이 있다
강복하다,건강하고 행복하다
강성하다,힘이 강하고 번성하다
강식하다,기억력이 좋고 박식하다
강악하다,억세고 모질다
강약부동하다,둘 사이의 힘이나 역량이 한편은 강하고 한편은 약하여 서로 상대가 되지 못하다
강왕하다,몸이 건강하고 기력이 좋다
강용하다,굳세고 용감하다
강용하다,강하고 용감하다
강의하다,의지가 굳세고 강직하여 굽힘이 없다
강인하다,억세고 질기다
강잉하다,억지로 참다 또는 마지못하여 그대로 하다
강장하다,몸이 건강하고 혈기가 왕성하다
강정하다,굳세고 바르다
강직하다,마음이 꼿꼿하고 곧다
강파롭다, 강파르다
강파르다,몸이 야위고 파리하다성질이 까다롭고 괴팍하다인정이 메마르고 야박하다산이나 길이 몹시 기울어져 있다
강파리하다,몸이 야위고 파리한 듯하다성질이 까다롭고 괴팍한 듯하다
강팔지다,성질이 까다롭고 괴팍하다
강퍅하다,성격이 까다롭고 고집이 세다
강포하다,몹시 우악스럽고 사납다
강하다,물체가 굳고 단단하다성격이 곧고 단단하다
강하다,물리적인 힘이 세다수준이나 정도가 높다무엇에 견디는 힘이 크거나 어떤 것에 대처하는 능력이 뛰어나다
강한하다,마음이나 성질이 굳세고 강하다
강항하다,올곧아 여간하여서는 굽힘이 없다
강횡하다,세력이 강하고 횡포하다
같다,서로 다르지 않고 하나이다다른 것과 비교하여 그것과 다르지 않다그런 부류에 속한다는 뜻을 나타내는 말라면의 뜻을 나타내는 말기준에 합당한의 뜻을 나타내는 말지금의 마음이나 형편에 따르자면의 뜻으로 쓰여 실제로는 그렇지 못함을 나타내는 말그 시간에 벌어진 일이나 상황 따위가 계속된다면의 뜻으로 쓰여 그러한 상황이 지속되지 않기를 바라는 마음을 나타내는 말혼잣말로 남을 욕할 때 그 말과 다름없다는 뜻을 나타내는 말추측 불확실한 단정을 나타내는 말
같잖다,하는 짓이나 꼴이 제격에 맞지 않고 눈꼴사납다말하거나 생각할 거리도 못 되다
개감스럽다,음식을 욕심껏 먹어 대는 꼴이 보기에 흉하다
개결하다,성품이 깨끗하고 굳다
개랑하다,탁 트여 환하다썩 영리하고 재주가 있다
개르다,개으르다의 준말
개름하다,귀여우면서도 조금 긴 듯하다
개무하다,하나도 없다 또는 조금도 없다
개붓하다, 가붓하다
개뿟하다, 가뿟하다
개연하다,외따로 있다굳게 지켜 변함이 없다
개연하다,억울하고 원통하여 몹시 분하다
개염스럽다,보기에 부러워하며 샘하여 탐내는 마음이 있다
개운하다,기분이나 몸이 상쾌하고 가뜬하다음식의 맛이 산뜻하고 시원하다바람 따위가 깨끗하고 맑은 느낌이 있어 상쾌하다
개으르다,움직이거나 일하기를 싫어하는 성미나 버릇이 있다
개자하다,개제하다의 변한말
개절하다,아주 알맞고 적절하다
개정하다,산뜻하고 깨끗하다
개제하다,용모가 단아하고 기상이 화평하다
개좆같다,속되게 어떤 대상이나 상황이 몹시 마음에 들지 않다
개직하다, 가깝다
개창하다,앞이 막히지 않고 훤히 트여 있다
개코같다,속되게 하찮고 보잘것없다
개탄스럽다,분하거나 못마땅하게 여길 만한 데가 있다
개활하다,앞이 막히지 않고 탁 트여 시원하게 너르다도량이 넓고 원만하다
객광스럽다, 객스럽다
객설스럽다,보기에 객쩍은 말이 많은 데가 있다보기에 객쩍은 말과 다름없는 데가 있다
객스럽다,쓸데없고 실없는 느낌이 있다
객심스럽다,보기에 행동이나 말 따위가 몹시 쓸데없고 실없는 데가 있다
객없다, 객쩍다
객적다, 객쩍다
객쩍다,행동이나 말 생각이 쓸데없고 싱겁다
갭직갭직하다,여럿이 다 생각보다 조금 가벼운 듯하다
갭직하다,생각보다 조금 가벼운 듯하다
