어휘,뜻풀이
갱무꼼짝하다,다시 더 이상 꼼짝할 수 없다
갱무도리하다,다시는 어찌하여 볼 도리가 없다
갱무하다,그 이상 더 없다
갱연하다,쇠붙이나 돌 따위의 단단한 물체가 부딪치는 소리나 거문고 따위를 타는 소리가 짜랑짜랑하게 맑고 곱다
갱충맞다,행동 따위가 조심성이 없고 아둔하다
갱충적다, 갱충쩍다
갱충쩍다,행동 따위가 조심성이 없고 아둔하다
갸록하다, 갸륵하다
갸륵하다,착하고 장하다
갸륵하다,딱하고 가련하다
갸름갸름하다,여럿이 다 보기 좋을 정도로 조금 가늘고 긴 듯하다
갸름컁컁하다,갸름하고 파리하다
갸름하다,보기 좋을 정도로 조금 가늘고 긴 듯하다
갸우듬하다,조금 갸운 듯하다
갸우스름하다,조금 갸울어진 듯하다
갸웃드름하다, 갸우스름하다
걀쭉걀쭉하다,여럿이 다 보기 좋을 정도로 조금 길다
걀쭉스름하다,조금 걀쭉하다
걀쭉하다,보기 좋을 정도로 조금 길다
걀쯔막하다,조금 넉넉히 갸름하다
걀쯤걀쯤하다,여럿이 다 꽤 갸름하다
걀쯤하다,꽤 갸름하다
걀찍걀찍하다,여럿이 다 길이가 알맞게 긴 듯하다
걀찍하다,길이가 알맞게 긴 듯하다
거거익심하다,갈수록 더욱 심하다
거교하다,지극히 간교하다
거기중하다,한쪽에 치우치지 않고 중간쯤에 있다
거나하다,술 따위에 취한 정도가 어지간하다
거년스럽다,보기에 몹시 가난하고 어려운 데가 있다
거늑하다,부족함이 없어 마음이 아주 느긋하다
거대하다,엄청나게 크다
거덕거덕하다,물기나 풀기가 있는 물체의 거죽이 조금 말라서 뻣뻣하다
거덕치다,모양 따위가 거칠고 막되어 어울리지 않다
거덜거덜하다,살림이나 사업 따위가 흔들리어 결딴날 듯이 위태롭다
거드럭스럽다,보기에 잘난 체하며 거만하게 행동하는 데가 있다
거드름스럽다,보기에 거만스러운 데가 있다
거든거든하다,다루기에 여럿이 다 또는 매우 거볍고 간편하거나 손쉽다여럿이 다 또는 매우 마음이 후련하고 상쾌하다
거든하다,다루기에 거볍고 간편하거나 손쉽다마음이 후련하고 상쾌하다
거뜬거뜬하다,다루기에 여럿이 다 또는 매우 거볍고 간편하거나 손쉽다 거든거든하다보다 센 느낌을 준다여럿이 다 또는 매우 마음이 후련하고 상쾌하다 거든거든하다보다 센 느낌을 준다
거뜬하다,다루기에 거볍고 간편하거나 손쉽다 거든하다보다 센 느낌을 준다마음이 후련하고 상쾌하다 거든하다보다 센 느낌을 준다
거령맞다,조촐하지 못하여 격에 어울리지 아니하다
거령스럽다,조촐하지 못하여 격에 어울리지 아니한 데가 있다
거룩하다,뜻이 매우 높고 위대하다
거만스럽다,보기에 잘난 체하며 남을 업신여기는 데가 있다
거만지다,매우 거만하거나 거만한 데가 있다
거만하다,잘난 체하며 남을 업신여기는 데가 있다
거머누르께하다,검은빛을 띠면서 곱지도 짙지도 않게 누르다
거머멀쑥하다,조금 희미하게 검으면서 지저분함 없이 훤하고 깨끗하다
거머무트룩하다, 거머무트름하다
거머무트름하다,얼굴이 거무스름하고 투실투실하다
거머번드르하다,조금 희미하게 검으면서 윤기가 나고 미끄럽다
거머번지르하다,조금 희미하게 검으면서 윤기가 나고 매우 미끄럽다
거머번질하다,거머번지르하다의 준말
거머우리하다,은은히 도는 빛이 거멓다
거머직직하다, 거무죽죽하다
거머충충하다, 거무충충하다
거머푸르레하다,조금 거멓고 푸르다
거멓다,어둡고 엷게 검다
거무께하다,곱지도 짙지도 않게 검다
거무끄름하다,조금 어둡게 거무스름하다
거무데데하다,산뜻하지 못하고 조금 천박하게 거무스름하다
거무뎅뎅하다,고르지 않게 거무스름하다
거무레하다,엷게 거무스름하다
거무룩하다,조금 거무스름하다
거무숙숙하다,수수하고 걸맞게 거무스름하다
거무스레하다,빛깔이 조금 검은 듯하다
거무스름하다,빛깔이 조금 검은 듯하다
거무슥하다, 거뭇하다
거무접접하다,약간 짙게 거무스름하다
거무죽죽하다,칙칙하고 고르지 않게 거무스름하다
거무추레하다,거무스름하여 깨끗하지 못하다
거무충충하다,꺼림칙해 보일 정도로 어둠침침하게 거무스름하다
거무칙칙하다,산뜻하지 않고 짙게 검다
거무튀튀하다,너저분해 보일 정도로 탁하게 거무스름하다
거무트름하다,거머무트름하다의 준말
거무틱틱하다, 거무튀튀하다
거물스럽다,보기에 거물 같은 데가 있다
거뭇거뭇하다,군데군데 거무스름하다
거뭇하다,빛깔이 조금 검은 듯하다
거므럼하다, 거무스름하다
거방지다,몸집이 크다하는 짓이 점잖고 무게가 있다매우 푸지다
거벽스럽다,보기에 사람됨이 억척스럽고 묵직한 데가 있다
거볍다,무게가 적다비중이나 가치 따위가 낮거나 적다죄과나 실수 손해 병세 따위가 그다지 심하지 않다생각이나 언어 행동이 점잖지 못하거나 경솔하다마음이 홀가분하고 경쾌하다
거볍디거볍다,아주 거볍다
거북살스럽다,몹시 거북스럽다
거북설스럽다, 거북살스럽다
거북스럽다,보기에 거북한 데가 있다
거북하다,몸이 찌뿌드드하고 괴로워 움직임이 자연스럽지 못하거나 자유롭지 못하다마음이 어색하고 겸연쩍어 편하지 않다
거분거분하다,들기 좋을 정도로 여럿이 다 또는 매우 거볍다말이나 행동 따위가 여럿이 다 또는 매우 거볍다
거분하다,들기 좋을 정도로 거볍다말이나 행동 따위가 거볍다몸의 상태가 거볍고 상쾌하다마음에 부담이 없이 거볍고 편안하다
거붓거붓하다,여럿이 다 조금 거벼운 듯하다
거붓하다,조금 거벼운 듯하다
거비엽다, 거볍다
거뿐거뿐하다,들기 좋을 정도로 여럿이 다 또는 매우 거볍다 거분거분하다보다 센 느낌을 준다말이나 행동 따위가 여럿이 다 또는 매우 거볍다 거분거분하다보다 센 느낌을 준다
거뿐하다,들기 좋을 정도로 거볍다 거분하다보다 센 느낌을 준다말이나 행동 따위가 가볍다 거분하다보다 센 느낌을 준다몸의 상태가 거볍고 상쾌하다 거분하다보다 센 느낌을 준다마음에 부담이 없이 거볍고 편안하다 거분하다보다 센 느낌을 준다
거뿟거뿟하다,여럿이 다 조금 거벼운 듯하다 거붓거붓하다보다 조금 센 느낌을 준다
거뿟하다,조금 거벼운 듯하다 거붓하다보다 센 느낌을 준다
거성스럽다, 극성스럽다
거세다,사물의 기세 따위가 몹시 거칠고 세차다성격 따위가 거칠고 억세다목소리가 크고 힘차다편안하거나 순탄하지 아니하다어떤 세력이나 주장 따위가 크고 강하다
거세차다,몹시 세차다
거슬거슬하다,살결이나 물건의 거죽이 매끄럽지 않고 거칠하거나 뻣뻣하다성질이 부드럽지 못하고 매우 거칠다
거슴츠레하다,졸리거나 술에 취해서 눈이 흐리멍덩하며 거의 감길 듯하다
거시시하다,눈이 맑지 아니하고 침침하다
거악스럽다, 그악스럽다
거악하다, 그악하다
거연하다,크고 우람하다 또는 당당하고 의젓하다
거연하다,심심하고 무료하다
거엽스럽다,큼직하고 너그럽고 꿋꿋하다
거오스럽다,거만하고 오만해 보이는 데가 있다
거오하다,성격 태도 따위가 거만하고 오만하다
거우듬하다,조금 기울어진 듯하다
거욷하다,조금 기울어진 듯하다
거웃하다, 거욷하다
거위하다,아주 크고 뛰어나다
거익심언하다,갈수록 더욱 심하다
거졸하다,미처 생각할 겨를이 없이 급하게 일어난 데가 있다
거준하다,성격 태도 따위가 거만하고 준열하다
거짓되다,사실과 어긋남이 있어 참되지 않다
거짓스럽다,보기에 거짓을 부리는 태도가 있다
거차다,크고 세차다
거창스럽다,보기에 일의 규모나 형태가 매우 크고 넓은 느낌이 있다
거창하다,일의 규모나 형태가 매우 크고 넓다
거추없다,하는 짓이 어울리지 않고 싱겁다
거추장스럽다,물건 따위가 크거나 무겁거나 하여 다루기가 거북하고 주체스럽다일 따위가 성가시고 귀찮다
거치없다, 거추없다
거칠거칠하다,여러 군데가 몹시 윤기가 없고 거칠다
거칠다,나무나 살결 따위가 결이 곱지 않고 험하다피륙의 올이 성기고 굵다일을 하는 태도나 솜씨가 찬찬하거나 야무지지 못하다땅이 손질이 제대로 되지 않아 농사짓기에 부적당하고 지저분하다행동이나 성격이 사납고 공격적인 면이 있다파도나 바람 따위의 기세가 험하고 거세다인정이 메마르고 살기에 험악하다가루나 알갱이 따위가 굵다음식이 맛과 영양이 적고 부드럽지 아니하여 험하다말하는 투가 세련되지 못하고 그 내용이 점잖지 못하며 막되다글이나 그림이 세련되거나 점잖지 못하고 막되다숨소리나 기침 따위가 고르지 않고 세다돌 따위가 모가 지고 날카롭다육체적인 노동이 많아 힘들다
거칠하다,여위거나 메말라 살갗이나 털이 윤기가 없고 거칠다
거침없다,일이나 행동 따위가 중간에 걸리거나 막힘이 없다
거칫거칫하다,살갗이나 털 따위가 여위거나 메말라 윤기가 없이 몹시 거칠다
거칫하다,살갗이나 털 따위가 여위거나 메말라 윤기가 없이 거칠다성미가 거친 듯하다
거쿨스럽다,보거나 듣기에 거쿨진 데가 있다
거쿨지다,몸집이 크고 말이나 하는 짓이 씩씩하다
거폐스럽다,다루기가 대단히 어려워서 부정적인 것이나 잘못됨이 있다
거푸지다, 거쿨지다
거풋하다,품새가 매우 가볍다
거하다,산 따위가 크고 웅장하다나무나 풀 따위가 우거지다지형이 깊어 으슥하다
거행불민하다,명령을 시행함이 민첩하지 못하다
걱세다,몸이 굳고 억세다성질이 굳고 무뚝뚝하다
걱정스럽다,걱정이 되어 마음이 편하지 않은 데가 있다
건각하다,성격 태도 따위가 조심스럽고 공손하다
건강하다,건전하고 의지가 굳세다
건강하다,정신적으로나 육체적으로 아무 탈이 없고 튼튼하다
건건찝찔하다,약간 짜기만 하고 감칠맛이 없다놀림조로 촌수가 아주 멀거나 친분은 있으나 가깝지는 아니하다
건건하다,감칠맛 없이 조금 짜다
건건하다,꽤 마르다
건건하다,어려움을 당하여 몹시 괴롭다매우 충성스럽다
건경하다,아주 힘차고 씩씩하다
건공하다,말이나 태도 따위가 공손하고 경솔하지 않다
건둔하다,운수가 꽉 막혀 있다
건둥하다,흐트러짐이 없이 정돈되어 시원스럽게 훤하다
건드러지다,목소리나 맵시 따위가 아름다우며 멋들어지게 부드럽고 가늘다
건드레하다,술 따위에 거나하게 취하여 정신이 흐릿하다
건방지다,잘난 체하거나 남을 낮추어 보듯이 행동하는 데가 있다
건삽하다,말라서 윤택이 없고 껄껄하다
건상하다,굳세고 원기가 왕성하다
건성드뭇하다,비교적 많은 수효의 것이 듬성듬성 흩어져 있다
건숙하다,경건하고 엄숙하다
건승하다,탈 없이 건강하다
건실하다,생각 태도 따위가 건전하고 착실하다몸이 건강하다기업의 경영 상태가 좋고 성장 가능성이 높다
건열하다,둔하고 변변하지 못하다
건용하다,튼튼하고 용감하다
건장하다,몸이 튼튼하고 기운이 세다
건재하다,힘이나 능력이 줄어들지 않고 여전히 그대로 있다
건전하다,병이나 탈이 없이 건강하고 온전하다사상이나 사물 따위의 상태가 한쪽으로 치우치지 않고 정상적이며 위태롭지 아니하다
건정하다,순수하고 깨끗하며 단아하다일의 뒤끝이 깨끗하다
건조롭다,무미건조한 느낌이 있다
건조무미하다,재미나 멋이 없이 메마르다
건첩하다,굳세고 재빠르다
건하다,아주 넉넉하다거나하다의 준말물 따위가 푹 잠기거나 고일 정도로 많다
건하다,말라서 습기가 없다
걸걸하다,목소리가 좀 쉰 듯하면서 우렁차고 힘이 있다성질이나 행동이 조심스럽지 못하고 거칠다
걸걸하다,성질이 쾌활하고 외모가 훤칠하다
걸굳다,거칠고 굳다
걸까리지다,사람의 몸이 크고 실팍하다
걸다,흙이나 거름 따위가 기름지고 양분이 많다액체 따위가 내용물이 많고 진하다음식 따위가 가짓수가 많고 푸짐하다말씨나 솜씨가 거리낌이 없고 푸지다푸짐하고 배부르다
